timestamp,hash,size
2019-10-01 00:06:17 UTC,0000000000000000000c1f84a78143078f4420da7a6b7fe0e4ed77c9bd68419c,1312743
2019-10-01 00:13:31 UTC,0000000000000000000ca77f1894b19d6fd236fb3ed3cb43d0bb2574cde59ae8,1301817
2019-10-01 00:47:03 UTC,00000000000000000002b2f4a53d5376bcdf8350a08484f9d5d1c93e7f9f0aff,1248124
2019-10-01 00:51:38 UTC,0000000000000000000233c444a9e1d7b73c3a0262cd6afc70085b9d09f9d14e,1253401
2019-10-01 00:59:52 UTC,00000000000000000002ead46f40a694ef0bbda8c0c7ea0c147a4ef2939e10ab,1169434
2019-10-01 01:19:53 UTC,00000000000000000015c3501bc734321f80f3a2aafe01b33d82e9a7325a924f,1192436
2019-10-01 01:32:21 UTC,0000000000000000000c2f023cd12744b00cc63c048a68dcc3da979babf6e163,1218966
2019-10-01 01:48:12 UTC,0000000000000000001268b8c86ea7d56de248eb3ed8e0b73a10705fadd33f11,1212989
2019-10-01 01:48:40 UTC,0000000000000000000076a4d311e263e70e7a5a657b8b3ee0fd8bb25277d2eb,1097759
2019-10-01 01:51:20 UTC,0000000000000000000063aa44c2459a9a7d2a7a6038fc49ad5fd57fcd950537,1203066
2019-10-01 02:10:23 UTC,00000000000000000004f684c0066be9291732268161910ebbc93b6d824e17ab,1276602
2019-10-01 02:18:33 UTC,000000000000000000059cd373898f36d3e029fe059d76da79774a48d864cfc3,1149677
2019-10-01 02:32:47 UTC,00000000000000000001e7c86ff0f9cbfa9c6991867265709ecba27922e23f92,1352442
2019-10-01 02:42:43 UTC,0000000000000000000b868fa859d4fa22775c0ad3ad3667c5b1f49a40ef2a1a,1259724
2019-10-01 03:04:24 UTC,00000000000000000003d70b0a6c433db8419a17ec0aab8c6b0af2c45d6d50ed,1334908
2019-10-01 03:09:30 UTC,0000000000000000000b713ab9255f3dfac41693d7e3033eeca9b53116ad2035,1286040
2019-10-01 03:14:08 UTC,000000000000000000069f3be33ed2d050edc8eba72b5f7b5f78ee3ec060533a,1359803
2019-10-01 03:18:31 UTC,000000000000000000069012b653d0022f2b6009db78e5e8ebfd5e938097d503,1245306
2019-10-01 03:24:55 UTC,0000000000000000001552c4cd77cd7530d2387523fb65c07d0358a32858618d,1257878
2019-10-01 03:28:32 UTC,0000000000000000000670a7a0ef37c84b7b3b8d99abe985a558752e3eb69db6,561493
2019-10-01 03:31:17 UTC,00000000000000000004e80a265c8674f452a0b0e8361bfcfdca67b96ad65c9b,270337
2019-10-01 03:57:01 UTC,000000000000000000078e338d954e569f68df485ff0ddb7ca5004c619bb1d78,1248206
2019-10-01 04:09:24 UTC,00000000000000000011aaa36e36f85e56990f32193228f0335232622edfcddb,1177008
2019-10-01 04:15:17 UTC,000000000000000000106799907a6216e2ca84d3f2f442ee4fed78a7d8db9b3f,1184758
2019-10-01 04:35:23 UTC,00000000000000000012911fabb83edbbd55e51b9c3dca3ef414ff8a897608ce,1209006
2019-10-01 04:39:12 UTC,00000000000000000003fe596988328615eab0ae4b7ea410d39deacac9eed47c,750114
2019-10-01 04:40:11 UTC,0000000000000000000973ba83718afdb4c09df4da3c73080a4f678e52cba680,96995
2019-10-01 04:45:40 UTC,0000000000000000001036104f79cdb3ac21f72fce3a45d158d9b5b448fa0652,606464
2019-10-01 04:55:12 UTC,00000000000000000013b384d03f47ab774e0e03b1fd2cdc06f4dedb29078414,877541
2019-10-01 05:13:53 UTC,000000000000000000119b99baa7a39ed2c711e3e1787c85c176035634ce9779,1473920
2019-10-01 05:17:33 UTC,0000000000000000000b30b400067b1801171bb4d3ed1625021a88792a13dde3,772920
2019-10-01 05:43:14 UTC,000000000000000000064aff9f53851bb1e884ece4e19f74ec0748b3453cacea,1373484
2019-10-01 05:51:11 UTC,0000000000000000000f1d77930a21a3048425fed972bede2639f7f6006f0f21,1409257
2019-10-01 05:54:16 UTC,0000000000000000000f96537601dde64efb2f681aeffae457d16d48980f7674,1272378
2019-10-01 05:58:21 UTC,0000000000000000000eb5652bf7803cdbdb026bded654cf3c2c579e929d5124,333233
2019-10-01 05:59:08 UTC,00000000000000000010ad693b95a58bd210c9be9e34b0ca6a96d61f905323b2,69845
2019-10-01 05:59:40 UTC,0000000000000000001234ddd6d777b568ee072ddd0c55d5231bb9f454e467cd,22403
2019-10-01 06:27:50 UTC,00000000000000000008d369d29c725814c109abcaee444462fc5fe7696b5126,1279060
2019-10-01 06:33:16 UTC,00000000000000000004880233fe47f3474bab7cd1c292352519e6154bd74a02,1509749
2019-10-01 06:56:13 UTC,00000000000000000000e1d0182fcd4f8c998510cacde17a57e49cd74362b929,1275247
2019-10-01 07:00:04 UTC,0000000000000000000cfa1915d66898f838c3fdda0d686a56fa87581954ee6c,1251224
2019-10-01 07:08:43 UTC,000000000000000000127c4bc3337e9a3196af05cb88374e53a5a95b1ec183ed,1197136
2019-10-01 07:22:35 UTC,00000000000000000002726a175241b0f200c561daf30c668d8652cf3b949343,1240728
2019-10-01 07:42:42 UTC,00000000000000000001896be4a5262c190c77dc55a3cfc67aa7fa190fcfd107,1263256
2019-10-01 08:21:35 UTC,00000000000000000001de4e8c9f291dec5f956bbc6d651a46da6350b3eeada7,1254826
2019-10-01 08:21:46 UTC,00000000000000000012ceb042f6468560936b77bb66ec86f92d7954b3e99d3b,1218583
2019-10-01 08:27:19 UTC,0000000000000000000bef078071a318647fd21fa4a4493fc9335571c2c3d9d6,1257533
2019-10-01 08:30:55 UTC,0000000000000000000378c967d0a94a8ee6224b54e7b36f3af4a056c37c265b,1161867
